Symbol,Security Name,Exchange
MWK,"Mohawk Group Holdings, Inc. - Common Stock",NASDAQ
MXIM,"Maxim Integrated Products, Inc. - Common Stock",NASDAQ
MYFW,"First Western Financial, Inc. - Common Stock",NASDAQ
MYGN,"Myriad Genetics, Inc. - Common Stock",NASDAQ
MYRG,"MYR Group, Inc. - Common Stock",NASDAQ
MYSZ,"My Size, Inc. - Common Stock",NASDAQ
MYT,"Urban Tea, Inc. - Ordinary Shares",NASDAQ
NAACU,North Atlantic Acquisition Corporation - Unit,NASDAQ
NAII,"Natural Alternatives International, Inc. - Common Stock",NASDAQ
NAKD,Naked Brand Group Limited - Ordinary Shares,NASDAQ
NAOV,"NanoVibronix, Inc. - Common Stock",NASDAQ
NARI,"Inari Medical, Inc. - Common Stock",NASDAQ
NATH,"Nathan's Famous, Inc. - Common Stock",NASDAQ
NATI,National Instruments Corporation - Common Stock,NASDAQ
NATR,"Nature's Sunshine Products, Inc. - Common Stock",NASDAQ
NAVI,Navient Corporation - Common Stock,NASDAQ
NBAC,Newborn Acquisition Corp. - Ordinary Shares,NASDAQ
NBACR,Newborn Acquisition Corp. - Right,NASDAQ
NBACU,Newborn Acquisition Corp. - Unit,NASDAQ
NBACW,Newborn Acquisition Corp. - Warrant,NASDAQ
NBEV,"NewAge, Inc. - Common Stock",NASDAQ
NBIX,"Neurocrine Biosciences, Inc. - Common Stock",NASDAQ
NBLX,"Noble Midstream Partners LP - Common Units, Representing Limited Partner Interests",NASDAQ
NBN,Northeast Bank - Common Stock,NASDAQ
NBRV,Nabriva Therapeutics plc - Ordinary Shares,NASDAQ
NBSE,"NeuBase Therapeutics, Inc.  - Common Stock",NASDAQ
NBTB,NBT Bancorp Inc. - Common Stock,NASDAQ
NBTX,Nanobiotix S.A. - ADSs,NASDAQ
NCBS,Nicolet Bankshares Inc. - Common Stock,NASDAQ
NCMI,"National CineMedia, Inc. - Common Stock",NASDAQ
NCNA,NuCana plc - American Depositary Shares,NASDAQ
NCNO,"nCino, Inc. - Common Stock",NASDAQ
NCSM,"NCS Multistage Holdings, Inc. - Common Stock",NASDAQ
NCTY,The9 Limited - American Depository Shares,NASDAQ
NDAQ,"Nasdaq, Inc. - Common Stock",NASDAQ
NDLS,Noodles & Company - Common Stock,NASDAQ
NDRA,ENDRA Life Sciences Inc. - Common Stock,NASDAQ
NDRAW,ENDRA Life Sciences Inc. - Warrants,NASDAQ
NDSN,Nordson Corporation - Common Stock,NASDAQ
NEBC,Nebula Caravel Acquisition Corp. - Class A Common Stock,NASDAQ
NEBCU,Nebula Caravel Acquisition Corp. - Unit,NASDAQ
NEBCW,Nebula Caravel Acquisition Corp. - Warrant,NASDAQ
NEO,"NeoGenomics, Inc. - Common Stock",NASDAQ
NEOG,Neogen Corporation - Common Stock,NASDAQ
NEON,Neonode Inc. - Common Stock,NASDAQ
NEPH,"Nephros, Inc. - Common Stock",NASDAQ
NEPT,Neptune Wellness Solutions Inc. - Ordinary Shares,NASDAQ
NERV,"Minerva Neurosciences, Inc - Common Stock",NASDAQ
NESR,National Energy Services Reunited Corp. - Ordinary Shares,NASDAQ
NESRW,National Energy Services Reunited Corp. - Warrant,NASDAQ
NETE,"Net Element, Inc. - Common Stock",NASDAQ
NEWA,"Newater Technology, Inc. - Ordinary Shares",NASDAQ
NEWT,Newtek Business Services Corp. - Common Stock,NASDAQ
NEWTL,Newtek Business Services Corp. - 5.75% Notes due 2024,NASDAQ
NEWTZ,Newtek Business Services Corp. - 5.50% Notes Due 2026,NASDAQ
NEXI,"NexImmune, Inc. - Common Stock",NASDAQ
NEXT,NextDecade Corporation - Common Stock,NASDAQ
NFBK,"Northfield Bancorp, Inc. - Common Stock",NASDAQ
NFE,New Fortress Energy Inc. - Class A Common Stock,NASDAQ
NFLX,"Netflix, Inc. - Common Stock",NASDAQ
NFTY,First Trust India Nifty 50 Equal Weight ETF,NASDAQ
NGAC,NextGen Acquisition Corporation - Class A Ordinary Shares,NASDAQ
NGACU,NextGen Acquisition Corporation - Units,NASDAQ
NGACW,NextGen Acquisition Corporation - Warrants,NASDAQ
NGM,"NGM Biopharmaceuticals, Inc. - Common Stock",NASDAQ
NGMS,NeoGames S.A. - Ordinary Shares,NASDAQ
NH,"NantHealth, Inc. - Common Stock",NASDAQ
NHIC,NewHold Investment Corp. - Class A Common Stock,NASDAQ
NHICU,NewHold Investment Corp. - Unit,NASDAQ
NHICW,NewHold Investment Corp. - Warrant,NASDAQ
NHTC,Natural Health Trends Corp. - Commn Stock,NASDAQ
NICE,NICE Ltd - American Depositary Shares each representing one Ordinary Share,NASDAQ
NICK,"Nicholas Financial, Inc. - Common Stock",NASDAQ
NISN,"NiSun Intl Enterprise Development Group Co, Ltd - Class A Common Shares",NASDAQ
NIU,Niu Technologies - American Depositary Shares,NASDAQ
NK,"NantKwest, Inc. - Common Stock",NASDAQ
NKLA,Nikola Corporation - Common Stock,NASDAQ
NKSH,"National Bankshares, Inc. - Common Stock",NASDAQ
NKTR,Nektar Therapeutics - Common Stock,NASDAQ
NKTX,"Nkarta, Inc. - Common Stock",NASDAQ
NLOK,NortonLifeLock Inc. - Common Stock,NASDAQ
NLSP,NLS Pharmaceutics Ltd. - Common Shares,NASDAQ
NLSPW,NLS Pharmaceutics Ltd. - Warrant,NASDAQ
NLTX,"Neoleukin Therapeutics, Inc. - Common Stock",NASDAQ
NMCI,Navios Maritime Containers L.P. - Common units representing limited partner interests,NASDAQ
NMFC,New Mountain Finance Corporation - Common Stock,NASDAQ
NMFCL,New Mountain Finance Corporation - 5.75% Notes due 2023,NASDAQ
NMIH,NMI Holdings Inc - Common Stock,NASDAQ
NMMC,North Mountain Merger Corp. - Class A Common Stock,NASDAQ
NMMCU,North Mountain Merger Corp. - Unit,NASDAQ
NMMCW,North Mountain Merger Corp. - Warrant,NASDAQ
NMRD,Nemaura Medical Inc. - Common Stock,NASDAQ
NMRK,"Newmark Group, Inc. - Class A Common Stock",NASDAQ
NMTR,"9 Meters Biopharma, Inc. - Common Stock",NASDAQ
NNBR,"NN, Inc. - Common Stock",NASDAQ
NNDM,Nano Dimension Ltd. - American Depositary Shares,NASDAQ
NNOX,NANO-X IMAGING LTD - Ordinary Shares,NASDAQ
NOAC,Natural Order Acquisition Corp. - Common Stock,NASDAQ
NOACU,Natural Order Acquisition Corp. - Unit,NASDAQ
NOACW,Natural Order Acquisition Corp. - Warrant,NASDAQ
NODK,"NI Holdings, Inc. - Common Stock",NASDAQ
NOVN,"Novan, Inc. - Common Stock",NASDAQ
NOVT,Novanta Inc. - Common Shares,NASDAQ
NPA,New Providence Acquisition Corp. - Class A Common Stock,NASDAQ
NPAUU,New Providence Acquisition Corp. - Unit,NASDAQ
NPAWW,New Providence Acquisition Corp. - Warrant,NASDAQ
NRACU,Noble Rock Acquisition Corporation - Unit,NASDAQ
NRBO,"NeuroBo Pharmaceuticals, Inc. - Common Stock",NASDAQ
NRC,National Research Corporation - Common Stock,NASDAQ
NRIM,Northrim BanCorp Inc - Common Stock,NASDAQ
NRIX,"Nurix Therapeutics, Inc. - Common stock",NASDAQ
NSEC,"National Security Group, Inc. - Common Stock",NASDAQ
NSIT,"Insight Enterprises, Inc. - Common Stock",NASDAQ
NSSC,"NAPCO Security Technologies, Inc. - Common Stock",NASDAQ
NSTG,"NanoString Technologies, Inc. - Common Stock",NASDAQ
NSYS,Nortech Systems Incorporated - Common Stock,NASDAQ
NTAP,"NetApp, Inc. - Common Stock",NASDAQ
NTCT,"NetScout Systems, Inc. - Common Stock",NASDAQ
NTEC,Intec Pharma Ltd. - Ordinary Shares,NASDAQ
NTES,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares",NASDAQ
NTGR,"NETGEAR, Inc. - Common Stock",NASDAQ
NTIC,Northern Technologies International Corporation - Common Stock,NASDAQ
NTLA,"Intellia Therapeutics, Inc. - Common Stock",NASDAQ
NTNX,"Nutanix, Inc. - Class A Common Stock",NASDAQ
NTRA,"Natera, Inc. - Common Stock",NASDAQ
NTRS,Northern Trust Corporation - Common Stock,NASDAQ
NTRSO,"Northern Trust Corporation - Depositary Shares Each Representing a 1/1,000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock",NASDAQ
NTUS,Natus Medical Incorporated - Common Stock,NASDAQ
NTWK,NETSOL Technologies Inc. - Common Stock,NASDAQ
NUAN,"Nuance Communications, Inc. - Common Stock",NASDAQ
NURO,"NeuroMetrix, Inc. - Common Stock",NASDAQ
NUVA,"NuVasive, Inc. - Common Stock",NASDAQ
NUZE,"NuZee, Inc. - Common Stock",NASDAQ
NVAX,"Novavax, Inc. - Common Stock",NASDAQ
NVCN,Neovasc Inc. - Common Shares,NASDAQ
NVCR,NovoCure Limited - Ordinary Shares,NASDAQ
NVDA,NVIDIA Corporation - Common Stock,NASDAQ
NVEC,NVE Corporation - Common Stock,NASDAQ
NVFY,"Nova Lifestyle, Inc - Common Stock",NASDAQ
NVIV,InVivo Therapeutics Holdings Corp. - Common Stock,NASDAQ
NVMI,Nova Measuring Instruments Ltd. - Ordinary Shares,NASDAQ
NVOS,"Novo Integrated Sciences, Inc. - Common Stock",NASDAQ
NVSAU,New Vista Acquisition Corp - Unit,NASDAQ
NWBI,"Northwest Bancshares, Inc. - Common Stock",NASDAQ
NWE,NorthWestern Corporation - Common Stock,NASDAQ
NWFL,Norwood Financial Corp. - Common Stock,NASDAQ
NWL,Newell Brands Inc. - Common Stock,NASDAQ
NWLI,"National Western Life Group, Inc. - Class A Common Stock",NASDAQ
NWPX,Northwest Pipe Company - Common Stock,NASDAQ
NWS,News Corporation - Class B Common Stock,NASDAQ
NWSA,News Corporation - Class A Common Stock,NASDAQ
NXGN,"NextGen Healthcare, Inc. - Common Stock",NASDAQ
NXPI,NXP Semiconductors N.V. - Common Stock,NASDAQ
NXST,"Nexstar Media Group, Inc. - Class A Common Stock",NASDAQ
NXTC,"NextCure, Inc. - Common Stock",NASDAQ
NXTD,NXT-ID Inc. - Common Stock,NASDAQ
NXTG,First Trust Indxx NextG ETF,NASDAQ
NYMT,"New York Mortgage Trust, Inc. - Common Stock",NASDAQ
NYMTM,"New York Mortgage Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
NYMTN,"New York Mortgage Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ
NYMTO,"New York Mortgage Trust, Inc. - 7.875% Series C Cumulative Redeemable Preferred Stock",NASDAQ
NYMTP,"New York Mortgage Trust, Inc. - 7.75% Series B Cumulative Redeemable Preferred Stock",NASDAQ
NYMX,Nymox Pharmaceutical Corporation - Common Stock,NASDAQ
OAS,Oasis Petroleum Inc. - Common Stock,NASDAQ
OBAS,Optibase Ltd. - Ordinary Shares,NASDAQ
OBCI,"Ocean Bio-Chem, Inc. - Common Stock",NASDAQ
OBLG,Oblong Inc. - Common Stock,NASDAQ
OBLN,"Obalon Therapeutics, Inc. - Common Stock",NASDAQ
OBNK,"Origin Bancorp, Inc. - Common Stock",NASDAQ
OBSV,ObsEva SA - Common Shares,NASDAQ
OCAXU,OCA Acquisition Corp. - Unit,NASDAQ
OCC,Optical Cable Corporation - Common Stock,NASDAQ
OCCI,"OFS Credit Company, Inc. - Common Stock",NASDAQ
OCCIP,"OFS Credit Company, Inc. - 6.875% Series A Term Preferred Stock",NASDAQ
OCDX,Ortho Clinical Diagnostics plc - Ordinary Shares,NASDAQ
OCFC,OceanFirst Financial Corp. - Common Stock,NASDAQ
OCFCP,OceanFirst Financial Corp. - Depositary Shares,NASDAQ
OCG,Oriental Culture Holding LTD - Ordinary Shares,NASDAQ
OCGN,"Ocugen, Inc. - Common Stock",NASDAQ
OCSI,Oaktree Strategic Income Corporation - Common Stock,NASDAQ
OCSL,Oaktree Specialty Lending Corporation - Common Stock,NASDAQ
OCUL,"Ocular Therapeutix, Inc. - Common Stock",NASDAQ
OCUP,"Ocuphire Pharma, Inc. - Common Stock",NASDAQ
ODFL,"Old Dominion Freight Line, Inc. - Common Stock",NASDAQ
ODP,The ODP Corporation - Common Stock,NASDAQ
ODT,"Odonate Therapeutics, Inc. - Common Stock",NASDAQ
OEG,"Orbital Energy Group, Inc. - Common Stock",NASDAQ
OEPWU,One Equity Partners Open Water I Corp. - Unit,NASDAQ
OESX,"Orion Energy Systems, Inc. - Common Stock",NASDAQ
OFED,Oconee Federal Financial Corp. - Common Stock,NASDAQ
OFIX,Orthofix Medical Inc.  - Common Stock,NASDAQ
OFLX,"Omega Flex, Inc. - Common Stock",NASDAQ
OFS,OFS Capital Corporation - Common Stock,NASDAQ
OFSSG,OFS Capital Corporation - 6.25% Notes Due 2023,NASDAQ
OFSSI,OFS Capital Corporation - 5.95% Notes due 2026,NASDAQ
OFSSL,OFS Capital Corporation - 6.375% Notes due 2025,NASDAQ
OFSSZ,OFS Capital Corporation - 6.50% Notes due 2025,NASDAQ
OGI,Organigram Holdings Inc. - Common Shares,NASDAQ
OIIM,O2Micro International Limited - American Depositary Shares,NASDAQ
OKTA,"Okta, Inc. - Class A Common Stock",NASDAQ
OLB,"The OLB Group, Inc. - Common Stock",NASDAQ
OLD,The Long-Term Care ETF,NASDAQ
OLED,Universal Display Corporation - Common Stock,NASDAQ
OLLI,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock",NASDAQ
OLMA,"Olema Pharmaceuticals, Inc. - Common Stock",NASDAQ
OM,"Outset Medical, Inc. - Common Stock",NASDAQ
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,NASDAQ
OMCL,"Omnicell, Inc. - Common Stock",NASDAQ
OMEG,Omega Alpha SPAC - Class A Ordinary Shares,NASDAQ
OMER,Omeros Corporation - Common Stock,NASDAQ
OMEX,"Odyssey Marine Exploration, Inc. - Common Stock",NASDAQ
OMP,"Oasis Midstream Partners LP - Common Units, Representing Limited Partner Interests",NASDAQ
ON,ON Semiconductor Corporation - Common Stock,NASDAQ
ONB,Old National Bancorp - Common Stock,NASDAQ
ONCR,"Oncorus, Inc. - Common Stock",NASDAQ
ONCS,OncoSec Medical Incorporated - Common Stock,NASDAQ
ONCT,"Oncternal Therapeutics, Inc.  - Common Stock",NASDAQ
ONCY,Oncolytics Biotech Inc. - Common Shares,NASDAQ
ONDS,Ondas Holdings Inc. - Common Stock,NASDAQ
ONEM,"1Life Healthcare, Inc. - Common Stock",NASDAQ
ONEQ,Fidelity Nasdaq Composite Index ETF,NASDAQ
ONEW,OneWater Marine Inc. - Class A Common Stock,NASDAQ
ONTX,"Onconova Therapeutics, Inc. - Common Stock",NASDAQ
ONTXW,"Onconova Therapeutics, Inc. - Warrants",NASDAQ
ONVO,"Organovo Holdings, Inc. - Common Stock",NASDAQ
OPBK,OP Bancorp - Common Stock,NASDAQ
OPCH,"Option Care Health, Inc. - Common Stock",NASDAQ
OPEN,Opendoor Technologies Inc  - Common Stock,NASDAQ
OPENW,Opendoor Technologies Inc  - Warrant,NASDAQ
OPGN,"OpGen, Inc. - Common Stock",NASDAQ
OPHC,"OptimumBank Holdings, Inc. - Common Stock",NASDAQ
OPI,Office Properties Income Trust - Common Shares of Beneficial Interest,NASDAQ
OPINI,Office Properties Income Trust - 5.875% Senior Notes due 2046,NASDAQ
OPINL,Office Properties Income Trust - 6.375% Senior Notes due 2050,NASDAQ
OPK,"Opko Health, Inc. - Common Stock",NASDAQ
OPNT,"Opiant Pharmaceuticals, Inc. - Common Stock",NASDAQ
OPOF,Old Point Financial Corporation - Common Stock,NASDAQ
OPRA,Opera Limited - American Depositary Shares,NASDAQ
OPRT,Oportun Financial Corporation - common stock,NASDAQ
OPRX,OptimizeRx Corporation - Common Stock,NASDAQ
OPT,Opthea Limited - American Depositary Shares,NASDAQ
OPTN,"OptiNose, Inc. - Common Stock",NASDAQ
OPTT,"Ocean Power Technologies, Inc. - Common Stock",NASDAQ
ORBC,ORBCOMM Inc. - Common Stock,NASDAQ
ORGO,Organogenesis Holdings Inc.  - Class A ,NASDAQ
ORGS,Orgenesis Inc. - Common Stock,NASDAQ
ORIC,"Oric Pharmaceuticals, Inc. - Common Stock",NASDAQ
ORLY,"O'Reilly Automotive, Inc. - Common Stock",NASDAQ
ORMP,Oramed Pharmaceuticals Inc. - Common Stock,NASDAQ
ORPH,Orphazyme A/S - American Depositary Shares,NASDAQ
ORRF,Orrstown Financial Services Inc - Common Stock,NASDAQ
ORTX,Orchard Therapeutics plc - American Depositary Shares,NASDAQ
OSBC,"Old Second Bancorp, Inc. - Common Stock",NASDAQ
OSIS,"OSI Systems, Inc. - Common Stock",NASDAQ
OSMT,Osmotica Pharmaceuticals plc - Ordinary Shares,NASDAQ
OSN,"Ossen Innovation Co., Ltd. - American Depositary Shares",NASDAQ
OSPN,OneSpan Inc. - Common Stock,NASDAQ
OSS,"One Stop Systems, Inc. - Common Stock",NASDAQ
OSTK,"Overstock.com, Inc. - Common Stock",NASDAQ
OSTRU,Oyster Enterprises Acquisition Corp. - Unit,NASDAQ
OSUR,"OraSure Technologies, Inc. - Common Stock",NASDAQ
OSW,OneSpaWorld Holdings Limited - Common Shares,NASDAQ
OTEL,Otelco Inc. - Common Stock,NASDAQ
OTEX,Open Text Corporation - Common Shares,NASDAQ
OTIC,"Otonomy, Inc. - Common Stock",NASDAQ
OTLK,"Outlook Therapeutics, Inc. - Common Stock",NASDAQ
OTLKW,"Outlook Therapeutics, Inc. - Series A Warrant",NASDAQ
OTRA,OTR Acquisition Corp. - Class A Common Stock,NASDAQ
OTRAU,OTR Acquisition Corp. - Unit,NASDAQ
OTRAW,OTR Acquisition Corp. - Warrant,NASDAQ
OTRK,"Ontrak, Inc. - Common Stock",NASDAQ
OTRKP,"Ontrak, Inc. - 9.50% Series A Cumulative Perpetual Preferred Stock",NASDAQ
OTTR,Otter Tail Corporation - Common Stock,NASDAQ
OVBC,Ohio Valley Banc Corp. - Common Stock,NASDAQ
OVID,Ovid Therapeutics Inc. - Common Stock,NASDAQ
OVLY,Oak Valley Bancorp (CA) - Common Stock,NASDAQ
OXBR,Oxbridge Re Holdings Limited - Ordinary Shares,NASDAQ
OXBRW,Oxbridge Re Holdings Limited - Warrant,NASDAQ
OXFD,Oxford Immunotec Global PLC - Ordinary Shares,NASDAQ
OXLC,Oxford Lane Capital Corp. - Common Stock,NASDAQ
OXLCM,Oxford Lane Capital Corp. - 6.75% Series 2024 Term Preferred Stock,NASDAQ
OXLCO,"Oxford Lane Capital Corp. - Term Preferred Shares, 7.50% Series 2023",NASDAQ
OXLCP,Oxford Lane Capital Corp. - 6.25% Series 2027 Term Preferred Shares,NASDAQ
OXSQ,Oxford Square Capital Corp. - Closed End Fund,NASDAQ
OXSQL,Oxford Square Capital Corp. - 6.50% Notes due 2024,NASDAQ
OXSQZ,Oxford Square Capital Corp. - 6.25% Notes due 2026,NASDAQ
OYST,"Oyster Point Pharma, Inc. - common stock",NASDAQ
OZK,Bank OZK - Common Stock,NASDAQ
OZON,"Ozon Holdings PLC - ADS, each ADS representing one ordinary share",NASDAQ
PAA,"Plains All American Pipeline, L.P. - Common Units representing Limited Partner Interests",NASDAQ
PAAS,Pan American Silver Corp. - Common Stock,NASDAQ
PACB,"Pacific Biosciences of California, Inc. - Common Stock",NASDAQ
PACW,PacWest Bancorp - Common Stock,NASDAQ
PACXU,Pioneer Merger Corp. - Unit,NASDAQ
PAE,PAE Incorporated - Class A Common Stock,NASDAQ
PAEWW,PAE Incorporated - Warrants,NASDAQ
PAGP,"Plains GP Holdings, L.P. - Class A Shares representing limited partner interests",NASDAQ
PAHC,Phibro Animal Health Corporation - Class A Common Stock,NASDAQ
PAIC,"Petra Acquisition, Inc. - Common Stock",NASDAQ
PAICU,"Petra Acquisition, Inc. - Units",NASDAQ
PAICW,"Petra Acquisition, Inc. - Warrant",NASDAQ
PAND,Pandion Therapeutics Inc. - Common stock,NASDAQ
PANL,Pangaea Logistics Solutions Ltd. - Common Stock,NASDAQ
PAQCU,Provident Acquisition Corp. - Units,NASDAQ
PASG,"Passage Bio, Inc. - Common Stock",NASDAQ
PATI,"Patriot Transportation Holding, Inc. - Common Stock",NASDAQ
PATK,"Patrick Industries, Inc. - Common Stock",NASDAQ
PAVM,PAVmed Inc. - Common Stock,NASDAQ
PAVMW,PAVmed Inc. - Warrant,NASDAQ
PAVMZ,PAVmed Inc. - Series Z Warrant,NASDAQ
PAX,Patria Investments Limited - Class A Common Shares,NASDAQ
PAYA,Paya Holdings Inc. - Common Stock,NASDAQ
PAYAW,Paya Holdings Inc. - Warrant,NASDAQ
PAYS,"Paysign, Inc. - Common Stock",NASDAQ
PAYX,"Paychex, Inc. - Common Stock",NASDAQ
PBCT,"People's United Financial, Inc. - Common Stock",NASDAQ
PBCTP,"People's United Financial, Inc. - Perpetual Preferred Series A Fixed-to-floating Rate",NASDAQ
PBFS,"Pioneer Bancorp, Inc. - Common Stock",NASDAQ
PBHC,"Pathfinder Bancorp, Inc. - Common Stock",NASDAQ
PBIP,"Prudential Bancorp, Inc. - Common Stock",NASDAQ
PBLA,"Panbela Therapeutics, Inc. - Common Stock",NASDAQ
PBPB,Potbelly Corporation - Common Stock,NASDAQ
PBTS,"Powerbridge Technologies Co., Ltd. - Ordinary Shares",NASDAQ
PBYI,Puma Biotechnology Inc - Common Stock,NASDAQ
PCAR,PACCAR Inc. - Common Stock,NASDAQ
PCB,PCB Bancorp - Common Stock,NASDAQ
PCH,PotlatchDeltic Corporation - Common Stock,NASDAQ
PCOM,"Points International, Ltd. - Common Shares",NASDAQ
PCRX,"Pacira BioSciences, Inc. - Common Stock",NASDAQ
PCSA,"Processa Pharmaceuticals, Inc. - Common Stock",NASDAQ
PCSB,PCSB Financial Corporation - Common Stock,NASDAQ
PCTI,"PCTEL, Inc. - Common Stock",NASDAQ
PCTY,Paylocity Holding Corporation - Common Stock,NASDAQ
PCVX,"Vaxcyte, Inc. - Common Stock",NASDAQ
PCYG,"Park City Group, Inc. - Common Stock",NASDAQ
PCYO,Pure Cycle Corporation - Common Stock,NASDAQ
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,NASDAQ
PDCE,"PDC Energy, Inc. - Common Stock",NASDAQ
PDCO,"Patterson Companies, Inc. - Common Stock",NASDAQ
PDD,Pinduoduo Inc. - American Depositary Shares,NASDAQ
PDEV,Principal International Multi-Factor ETF,NASDAQ
PDEX,"Pro-Dex, Inc. - Common Stock",NASDAQ
PDFS,"PDF Solutions, Inc. - Common Stock",NASDAQ
PDLB,PDL Community Bancorp - Common Stock,NASDAQ
PDP,Invesco DWA Momentum ETF,NASDAQ
PDSB,PDS Biotechnology Corporation - Common Stock,NASDAQ
PEBK,"Peoples Bancorp of North Carolina, Inc. - Common Stock",NASDAQ
PEBO,Peoples Bancorp Inc. - Common Stock,NASDAQ
PEGA,Pegasystems Inc. - Common Stock,NASDAQ
PENN,"Penn National Gaming, Inc. - Common Stock",NASDAQ
PEP,"PepsiCo, Inc. - Common Stock",NASDAQ
PERI,Perion Network Ltd - Ordinary Shares,NASDAQ
PESI,"Perma-Fix Environmental Services, Inc. - Common Stock",NASDAQ
PETQ,"PetIQ, Inc. - Class A Common Stock",NASDAQ
PETS,"PetMed Express, Inc. - Common Stock",NASDAQ
PETZ,"TDH Holdings, Inc. - Common Shares",NASDAQ
PEY,Invesco High Yield Equity Dividend Achievers ETF,NASDAQ
PEZ,Invesco DWA Consumer Cyclicals Momentum ETF,NASDAQ
PFBC,Preferred Bank - Common Stock,NASDAQ
PFBI,"Premier Financial Bancorp, Inc. - Common Stock",NASDAQ
PFC,Premier Financial Corp.  - Common Stock,NASDAQ
PFDRU,Pathfinder Acquisition Corporation - Unit,NASDAQ
PFF,iShares Preferred and Income Securities ETF,NASDAQ
PFG,Principal Financial Group Inc - Common Stock,NASDAQ
PFHD,Professional Holding Corp. - Class A Common Stock,NASDAQ
PFI,Invesco DWA Financial Momentum ETF,NASDAQ
PFIE,"Profire Energy, Inc. - Common Stock",NASDAQ
PFIN,"P & F Industries, Inc. - Class A Common Stock",NASDAQ
PFIS,Peoples Financial Services Corp.  - Common Stock,NASDAQ
PFLT,PennantPark Floating Rate Capital Ltd. - Common Stock,NASDAQ
PFM,Invesco Dividend Achievers ETF,NASDAQ
PFMT,Performant Financial Corporation - Common Stock,NASDAQ
PFPT,"Proofpoint, Inc. - Common Stock",NASDAQ
PFSW,"PFSweb, Inc. - Common Stock",NASDAQ
PFX,PhenixFIN Corporation  - Common Stock,NASDAQ
PFXNL,PhenixFIN Corporation  - Notes Due 2023,NASDAQ
PGC,Peapack-Gladstone Financial Corporation - Common Stock,NASDAQ
PGEN,"Precigen, Inc. - Common Stock",NASDAQ
PGJ,Invesco Golden Dragon China ETF,NASDAQ
PGNY,"Progyny, Inc. - Common Stock",NASDAQ
PGRWU,Progress Acquisition Corp. - Units.,NASDAQ
PHAR,"Pharming Group N.V. - ADS, each representing 10 ordinary shares",NASDAQ
PHAS,"PhaseBio Pharmaceuticals, Inc. - Common Stock",NASDAQ
PHAT,"Phathom Pharmaceuticals, Inc. - Common Stock",NASDAQ
PHCF,"Puhui Wealth Investment Management Co., Ltd.  - Ordinary Shares",NASDAQ
PHIC,"Population Health Investment Co., Inc. - Class A Ordinary Share",NASDAQ
PHICU,"Population Health Investment Co., Inc. - Unit",NASDAQ
PHICW,"Population Health Investment Co., Inc. - Warrant",NASDAQ
PHIO,Phio Pharmaceuticals Corp. - Common Stock,NASDAQ
PHIOW,Phio Pharmaceuticals Corp. - Warrants,NASDAQ
PHO,Invesco Water Resources ETF,NASDAQ
PHUN,"Phunware, Inc. - Common Stock",NASDAQ
PHUNW,"Phunware, Inc. - Warrants",NASDAQ
PHVS,Pharvaris N.V. - Ordinary Shares,NASDAQ
PI,"Impinj, Inc. - Common Stock",NASDAQ
PICO,PICO Holdings Inc. - Common Stock,NASDAQ
PID,Invesco International Dividend Achievers ETF,NASDAQ
PIE,Invesco DWA Emerging Markets Momentum ETF,NASDAQ
PINC,"Premier, Inc. - Class A Common Stock",NASDAQ
PIO,Invesco Global Water ETF,NASDAQ
PIRS,"Pieris Pharmaceuticals, Inc. - Common Stock",NASDAQ
PIXY,"ShiftPixy, Inc. - Common Stock",NASDAQ
PIZ,Invesco DWA Developed Markets Momentum ETF,NASDAQ
PKBK,"Parke Bancorp, Inc. - Common Stock",NASDAQ
PKOH,Park-Ohio Holdings Corp. - Common Stock,NASDAQ
PKW,Invesco BuyBack Achievers ETF,NASDAQ
PLAB,"Photronics, Inc. - Common Stock",NASDAQ
PLAY,"Dave & Buster's Entertainment, Inc. - Common Stock",NASDAQ
PLBC,Plumas Bancorp - Common Stock,NASDAQ
PLBY,"PLBY Group, Inc.  - Common Stock",NASDAQ
PLCE,"Children's Place, Inc. (The) - Common Stock",NASDAQ
PLIN,"China Xiangtai Food Co., Ltd. - Ordinary Shares",NASDAQ
PLL,Piedmont Lithium Limited - American Depositary Shares,NASDAQ
PLMR,"Palomar Holdings, Inc. - Common stock",NASDAQ
PLPC,Preformed Line Products Company - Common Stock,NASDAQ
PLRX,"Pliant Therapeutics, Inc. - Common Stock",NASDAQ
PLSE,"Pulse Biosciences, Inc - Common Stock",NASDAQ
PLTK,Playtika Holding Corp. - Common Stock,NASDAQ
PLUG,"Plug Power, Inc. - Common Stock",NASDAQ
PLUS,ePlus inc. - Common Stock,NASDAQ
PLW,Invesco 1-30 Laddered Treasury ETF,NASDAQ
PLXP,PLx Pharma Inc. - Common Stock,NASDAQ
PLXS,Plexus Corp. - Common Stock,NASDAQ
PLYA,Playa Hotels & Resorts N.V. - Ordinary Shares,NASDAQ
PMBC,Pacific Mercantile Bancorp - Common Stock,NASDAQ
